Colony,Block,Treatment,Position,Direction,X,Y,Time_days,Bifurcations,Zooids,rgr40,Offspring,Samples,Survival
31a,2,alone,A,C,50,0,36,,,,98,29,1
32a,2,near,H,S,70,-0.15,36,,,,4,3,1
34b,1,far,B,C,0,0,36,,,,27,22,1
01b,4,both,F,S,130,-1,40,9,4813,,46,15,1
02a,3,both,D,C,110,0,40,9,8275,,1,1,1
03a,3,both,E,N,110,0.15,40,9,7601,,0,0,1
04a,1,both,D,C,10,0,40,9,1788,,12,11,1
05b,4,far,C,N,120,1,40,9,7191,,16,15,1
06a,4,near,H,S,150,-0.15,40,9,6015,,39,26,1
07b,4,both,D,C,130,0,40,5,324,,0,0,1
08a,3,far,C,S,90,-1,40,10,5712,,41,30,1
09a,2,both,F,S,40,-1,40,7,1240,,17,16,1
10a,3,near,G,C,80,0,40,9,6708,,0,0,1
11a,3,near,H,N,80,0.15,40,5,308,,0,0,1
12b,2,both,E,S,40,-0.15,40,9,6093,,47,30,1
13b,3,alone,A,C,100,0,40,8,3362,,13,9,1
14a,3,far,B,C,90,0,40,9,9411,,6,3,1
15b,4,both,E,S,130,-0.15,40,10,6297,,39,30,1
17a,4,alone,A,C,140,0,40,10,4962,,14,13,1
18a,1,near,G,C,30,0,40,10,4979,,61,28,1
19b,2,far,C,N,60,1,40,9,4673,,49,30,1
20a,4,near,G,C,150,0,40,9,2779,,18,18,1
21a,1,both,F,N,10,1,40,8,3006,,43,30,1
22a,2,both,D,C,40,0,40,9,3337,,11,6,1
23a,1,alone,A,C,20,0,40,9,5462,,71,30,1
24a,2,far,B,C,60,0,40,,,,0,0,0
25b,1,near,H,N,30,0.15,40,9,5007,,35,30,1
26a,4,far,B,C,120,0,40,10,4232,,26,27,1
27b,1,both,E,N,10,0.15,40,,,,0,0,0
28a,2,near,G,C,70,0,40,9,5806,,53,30,1
29b,1,far,C,S,0,-1,40,9,4872,,38,30,1
30a,3,both,F,N,110,1,40,9,6017,,6,6,1
31a,2,alone,A,C,50,0,40,9,2897,,49,30,1
32a,2,near,H,S,70,-0.15,40,10,5833,,36,30,1
34b,1,far,B,C,0,0,40,9,1774,,31,27,1
01b,4,both,F,S,130,-1,all,,,0.083000514,1723,186,1
02a,3,both,D,C,110,0,all,,,0.088095649,61,57,1
03a,3,both,E,N,110,0.15,all,,,0.089486221,3,2,1
04a,1,both,D,C,10,0,all,,,0.06651348,192,107,1
05b,4,far,C,N,120,1,all,,,0.096090823,916,87,1
06a,4,near,H,S,150,-0.15,all,,,0.088862929,1607,219,1
07b,4,both,D,C,130,0,all,,,0.017174833,0,0,1
08a,3,far,C,S,90,-1,all,,,0.080966961,1049,203,1
09a,2,both,F,S,40,-1,all,,,0.061018386,101,64,1
10a,3,near,G,C,80,0,all,,,0.087446254,0,0,1
11a,3,near,H,N,80,0.15,all,,,0.012608828,0,0,1
12b,2,both,E,S,40,-0.15,all,,,0.101286419,696,159,1
13b,3,alone,A,C,100,0,all,,,0.072770129,812,169,1
14a,3,far,B,C,90,0,all,,,0.087693186,6,3,1
15b,4,both,E,S,130,-0.15,all,,,0.089291972,599,180,1
17a,4,alone,A,C,140,0,all,,,0.086016499,1288,259,1
18a,1,near,G,C,30,0,all,,,0.091329299,1045,182,1
19b,2,far,C,N,60,1,all,,,0.101688248,1152,239,1
20a,4,near,G,C,150,0,all,,,0.070147061,498,141,1
21a,1,both,F,N,10,1,all,,,0.078329206,454,150,1
22a,2,both,D,C,40,0,all,,,0.094225551,326,99,1
23a,1,alone,A,C,20,0,all,,,0.090893925,1919,278,1
